time,theta1,omega1,theta2,omega2,x1,y1,x2,y2
5.53,0.7362018001817582,4.428604674883246,0.8563816622412859,0.29779043023334434,0.6714782034851714,0.7410243061090012,1.426955071433966,1.396199627678945
5.54,0.7802928401422946,4.387222157566611,0.8590790463393798,0.2454477273849291,0.7034875730640796,0.7107075590877103,1.4607289499854619,1.363842688351333
5.55,0.8238989778999073,4.33168274996478,0.8613653118478389,0.2154736974473684,0.7338002309545949,0.6793653075120801,1.492532867840259,1.330767476471109
5.5600000000000005,0.8668811354632519,4.262556814892907,0.86346008214982,0.2069311813137122,0.762314096203905,0.647207245578125,1.5224096053272524,1.2970186159084074
5.57,0.9091080355576605,4.180824982388245,0.8655700050649874,0.21817887794690952,0.7889559863125695,0.6144497145101141,1.5504208544330904,1.262655896691523
5.58,0.9504599509431992,4.087800366079635,0.8678823312616764,0.24700612724497875,0.813682964424578,0.5813088967194902,1.5766446596260753,1.227752592376937
5.59,0.9908314940697036,3.9850178195035912,0.870560116092725,0.2908175548875552,0.8364819219063268,0.5479945203411235,1.6011719167426022,1.1923928535150208
5.6000000000000005,1.0301332259503921,3.8741122407904105,0.8737393766333728,0.34683377608273414,0.8573675688101355,0.5147046259288889,1.624102405763889,1.1566685577829308
5.61,1.0682920811168037,3.756706457967451,0.8775282016589236,0.4122767214739826,0.8763792120454211,0.481621715347893,1.6455408288828641,1.1206760222608585
5.62,1.1052507813283905,3.634322759709922,0.8820075426539948,0.48451793380275926,0.8935767975829291,0.44891035499466586,1.6655932305957422,1.0845129251264838
5.63,1.1409665107182263,3.508324002346981,0.8872332587699218,0.5611804650161807,0.9090366812202306,0.4167161050356811,1.6843640365794763,1.0482756762810528
5.64,1.1754091479251103,3.3798832996647876,0.8932389501784964,0.6401955139542536,0.92284750558517,0.38516552472311116,1.7019538076954266,1.0120573575077485
5.65,1.2085593170266282,3.2499770143524462,0.9000391621988111,0.7198215473145629,0.9351064417218327,0.35436696043837507,1.7184576943617846,0.9759462514282038
5.66,1.2404064562097186,3.119394150190966,0.9076326360380776,0.7986362630960776,0.9459159367877055,0.32441183784047956,1.733964505914563,0.9400249084433644
5.67,1.2709470343844038,2.9887555405801463,0.9160053860163667,0.8755114755635501,0.9553810154142615,0.29537622684639786,1.7485562765417746,0.9043696628826997
5.68,1.3001829858913314,2.8585375255579155,0.9251334755817264,0.9495791729042339,0.9636071177966935,0.26732250659371964,1.7623082041035842,0.8690504972441404
5.69,1.3281203882361299,2.7290963847999348,0.9349854354987793,1.0201946981976093,0.9706984202853888,0.24030101301378387,1.7752888496428247,0.8341311579091208
5.7,1.354768377824862,2.6006912226843832,0.9455243161597457,1.0869008763927688,0.9767565678010888,0.21435159728221534,1.7875605046259382,0.7996694391675669
5.71,1.3801382814535748,2.4735041064594236,0.9567093953944196,1.1493952335891673,0.9818797447947012,0.1895050573517564,1.7991796538626046,0.7657175690499983
5.72,1.404242933388197,2.347657019113214,0.9684975783263768,1.2075012752058734,0.9861620168321322,0.16578442797072773,1.8101974812273243,0.7323226468218482
5.73,1.4270961460490172,2.2232256588084263,0.9808445314119002,1.26114403679851,0.9896928839618359,0.1432061291820434,1.8206603812665918,0.6995270962712501
5.74,1.4487123040599135,2.1002503727682136,0.9937055925517144,1.3103296889432337,0.9925569971148012,0.12178098159584977,1.8306104522189819,0.6673691104879151
5.75,1.469106054958749,1.9787446261877177,1.0070364957660294,1.3551287638442642,0.9948339983734082,0.10151510075046773,1.8400859552116167,0.635883072714712
5.76,1.488292074050507,1.858701431694529,1.0207939441302083,1.3956624947818705,0.9965984543095351,0.08241068418503417,1.8491217309782175,0.6050999443942843
5.7700000000000005,1.5062848850502912,1.740098141312046,1.034936059544125,1.4320917618971944,0.9979198585070889,0.06446670456283382,1.8577495699615523,0.5750476161724767
5.78,1.5230987219616763,1.6228999563248783,1.0494227330346853,1.464608180495497,0.9988626848929353,0.04767952105964046,1.8659985346452426,0.5457512207920626
5.79,1.5387474209214071,1.5070624563608148,1.0642158949415168,1.493426927167091,0.9994864777730219,0.03204341974381751,1.8738952348381526,0.5172334088901452
5.8,1.5532443334865065,1.392533396017265,1.0792797205993352,1.5187809608413705,0.9998459677199374,0.017551092107952655,1.881464057741666,0.4895145900041772
